strain	isolate_id	host	date	region	country	division	virus
A/Great_Horned_Owl/PA/25-002240-001-original/2025_H5N1	PV336841.1,PV336842.1,PV336843.1,PV336844.1,PV336845.1,PV336846.1,PV336847.1,PV336848.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Great_Horned_Owl/PA/25-002836-001-original/2025_H5N1	PV336849.1,PV336850.1,PV336851.1,PV336852.1,PV336853.1,PV336854.1,PV336855.1,PV336856.1	Wild Birds	2025-01-17	North America	USA	Pennsylvania	H5N1
A/Great_Horned_Owl/PA/25-002836-002-original/2025_H5N1	PV336857.1,PV336858.1,PV336859.1,PV336860.1,PV336861.1,PV336862.1,PV336863.1,PV336864.1	Wild Birds	2025-01-17	North America	USA	Pennsylvania	H5N1
A/Great_Horned_Owl/PA/25-002837-001-original/2025_H5N1	PV336865.1,PV336866.1,PV336867.1,PV336868.1,PV336869.1,PV336870.1,PV336871.1,PV336872.1	Wild Birds	2025-01-17	North America	USA	Pennsylvania	H5N1
A/Green-winged_Teal/OH/25-001881-007-original/2025_H5N1	PV336873.1,PV336874.1,PV336875.1,PV336876.1,PV336877.1,PV336878.1,PV336879.1,PV336880.1	Wild Birds	2025-01-12	North America	USA	Ohio	H5N1
A/Green-winged_Teal/OH/25-001881-008-original/2025_H5N1	PV336881.1,PV336882.1,PV336883.1,PV336884.1,PV336885.1,PV336886.1,PV336887.1,PV336888.1	Wild Birds	2025-01-12	North America	USA	Ohio	H5N1
A/Green-winged_Teal/OH/25-001881-009-original/2025_H5N1	PV336889.1,PV336890.1,PV336891.1,PV336892.1,PV336893.1,PV336894.1,PV336895.1,PV336896.1	Wild Birds	2025-01-12	North America	USA	Ohio	H5N1
A/Green_Winged_Teal/BC/AIVPHL-2526/2024	EPI_ISL_19533307	Wild Birds	2024-10-09	North America 	 Canada 	 British Columbia	H5N1
A/Guineafowl/AL/24-037980-001-original/2024_H5N1	PV070746.1,PV070747.1,PV070748.1,PV070749.1,PV070750.1,PV070751.1,PV070752.1,PV070753.1	Wild Birds	2024-12-13	North America	USA	Alabama	H5N1
A/Guineafowl/KS/24-038653-003-original/2024_H5N1	PV159596.1,PV159597.1,PV159598.1,PV159599.1,PV159600.1,PV159601.1,PV159602.1,PV159603.1	Wild Birds	2024-12-26	North America	USA	Kansas	H5N1
A/Guineafowl/NE/24-037518-003-original/2024_H5N1	PV070754.1,PV070755.1,PV070756.1,PV070757.1,PV070758.1,PV070759.1,PV070760.1,PV070761.1	Wild Birds	2024-12-13	North America	USA	Nebraska	H5N1
A/Guineafowl/NE/25-003247-003-original/2025_H5N1	PV336897.1,PV336898.1,PV336899.1,PV336900.1,PV336901.1,PV336902.1,PV336903.1,PV336904.1	Wild Birds	2025-01-27	North America	USA	Nebraska	H5N1
A/Guineafowl/SD/25-000286-001-original/2025_H5N1	PV159620.1,PV159621.1,PV159622.1,PV159623.1,PV159624.1,PV159625.1,PV159626.1,PV159627.1	Wild Birds	2025-01-03	North America	USA	South Dakota	H5N1
A/Guineafowl/TN/25-001531-002-original/2025_H5N1	PV218326.1,PV218327.1,PV218328.1,PV218329.1,PV218330.1,PV218331.1,PV218332.1,PV218333.1	Wild Birds	2025-XX-XX	North America	USA	Tennessee	H5N1
A/Guineafowl/WA/24-030328-001-original/2024_H5N1	PQ663854.1,PQ663855.1,PQ663856.1,PQ663857.1,PQ663858.1,PQ663859.1,PQ663860.1,PQ663861.1	Wild Birds	2024-10-15	North America	USA	Washington	H5N1
A/Guineafowl/WA/24-030328-002-original/2024_H5N1	PQ663862.1,PQ663863.1,PQ663864.1,PQ663865.1,PQ663866.1,PQ663867.1,PQ663868.1,PQ663869.1	Wild Birds	2024-10-15	North America	USA	Washington	H5N1
A/Guineafowl/WV/25-000050-001-original/2024_H5N1	PV159628.1,PV159629.1,PV159630.1,PV159631.1,PV159632.1,PV159633.1,PV159634.1,PV159635.1	Wild Birds	2024-12-31	North America	USA	West Virginia	H5N1
A/Hawk/CO/25-002315-001-original/2025_H5N1	PV336905.1,PV336906.1,PV336907.1,PV336908.1,PV336909.1,PV336910.1,PV336911.1,PV336912.1	Wild Birds	2025-01-17	North America	USA	Colorado	H5N1
A/Hooded_Merganser/PA/25-003373-002-original/2025_H5N1	PV336913.1,PV336914.1,PV336915.1,PV336916.1,PV336917.1,PV336918.1,PV336919.1,PV336920.1	Wild Birds	2025-01-28	North America	USA	Pennsylvania	H5N1
A/Hooded_Merganser/VA/25-002916-001-original/2025_H5N1	PV336921.1,PV336922.1,PV336923.1,PV336924.1,PV336925.1,PV336926.1,PV336927.1,PV336928.1	Wild Birds	2025-01-18	North America	USA	Virginia	H5N1
A/Louisiana/12/2024_OR_IR_H5N1	PQ809549.1,PQ809550.1,PQ809551.1,PQ809552.1,PQ809553.1,PQ809554.1,PQ809555.1,PQ809556.1	Human	2024-12-11	North America	USA	Louisiana	H5N1
A/Louisiana/12/2024_Original_H5N1	PQ809557.1,PQ809558.1,PQ809559.1,PQ809560.1,PQ809561.1,PQ809562.1,PQ809563.1,PQ809564.1	Human	2024-12-11	North America	USA	Louisiana	H5N1
A/Mallard/MA/25-003321-002-original/2025_H5N1	PV336945.1,PV336946.1,PV336947.1,PV336948.1,PV336949.1,PV336950.1,PV336951.1,PV336952.1	Wild Birds	2025-01-27	North America	USA	Massachusetts	H5N1
A/Mallard/MD/25-003141-001-original/2025_H5N1	PV336953.1,PV336954.1,PV336955.1,PV336956.1,PV336957.1,PV336958.1,PV336959.1,PV336960.1	Wild Birds	2025-01-15	North America	USA	Maryland	H5N1
A/Mallard/MD/25-003141-005-original/2025_H5N1	PV336969.1,PV336970.1,PV336971.1,PV336972.1,PV336973.1,PV336974.1,PV336975.1,PV336976.1	Wild Birds	2025-01-15	North America	USA	Maryland	H5N1
A/Mallard/MI/25-002663-025-original/2025_H5N1	PV337081.1,PV337082.1,PV337083.1,PV337084.1,PV337085.1,PV337086.1,PV337087.1,PV337088.1	Wild Birds	2025-01-17	North America	USA	Michigan	H5N1
A/Mallard/MI/25-003379-002-original/2025_H5N1	PV337137.1,PV337138.1,PV337139.1,PV337140.1,PV337141.1,PV337142.1,PV337143.1,PV337144.1	Wild Birds	2025-01-24	North America	USA	Michigan	H5N1
A/Mallard/NH/25-003045-033-original/2025_H5N1	PV336202.1,PV336203.1,PV336204.1,PV336205.1,PV336206.1,PV336207.1,PV336208.1,PV336209.1	Wild Birds	2025-01-17	North America	USA	New Hampshire	H5N1
A/Mallard/NH/25-003045-070-original/2025_H5N1	PV336171.1,PV336172.1,PV336173.1,PV336174.1,PV336175.1,PV336176.1,PV336177.1,PV336178.1	Wild Birds	2025-01-17	North America	USA	New Hampshire	H5N1
A/Mallard/NH/25-003045-073-original/2025_H5N1	PV336139.1,PV336140.1,PV336141.1,PV336142.1,PV336143.1,PV336144.1,PV336145.1,PV336146.1	Wild Birds	2025-01-17	North America	USA	New Hampshire	H5N1
A/Mallard/NH/25-003045-077-original/2025_H5N1	PV336163.1,PV336164.1,PV336165.1,PV336166.1,PV336167.1,PV336168.1,PV336169.1,PV336170.1	Wild Birds	2025-01-17	North America	USA	New Hampshire	H5N1
A/Mallard/NY/25-002329-001-original/2025_H5N1	PV337145.1,PV337146.1,PV337147.1,PV337148.1,PV337149.1,PV337150.1,PV337151.1,PV337152.1	Wild Birds	2025-01-18	North America	USA	New York	H5N1
A/Mallard/NY/25-002741-001-original/2025_H5N1	PV337153.1,PV337154.1,PV337155.1,PV337156.1,PV337157.1,PV337158.1,PV337159.1,PV337160.1	Wild Birds	2025-01-16	North America	USA	New York	H5N1
A/Mallard/NY/25-002741-006-original/2025_H5N1	PV337161.1,PV337162.1,PV337163.1,PV337164.1,PV337165.1,PV337166.1,PV337167.1,PV337168.1	Wild Birds	2025-01-16	North America	USA	New York	H5N1
A/Mallard/NY/25-002741-007-original/2025_H5N1	PV337169.1,PV337170.1,PV337171.1,PV337172.1,PV337173.1,PV337174.1,PV337175.1,PV337176.1	Wild Birds	2025-01-16	North America	USA	New York	H5N1
A/Mallard/NY/25-002741-008-original/2025_H5N1	PV337177.1,PV337178.1,PV337179.1,PV337180.1,PV337181.1,PV337182.1,PV337183.1,PV337184.1	Wild Birds	2025-01-16	North America	USA	New York	H5N1
A/Mallard/NY/25-002741-010-original/2025_H5N1	PV337185.1,PV337186.1,PV337187.1,PV337188.1,PV337189.1,PV337190.1,PV337191.1,PV337192.1	Wild Birds	2025-01-16	North America	USA	New York	H5N1
A/Mallard/OH/25-001881-005-original/2025_H5N1	PV337193.1,PV337194.1,PV337195.1,PV337196.1,PV337197.1,PV337198.1,PV337199.1,PV337200.1	Wild Birds	2025-01-12	North America	USA	Ohio	H5N1
A/Mallard/PA/25-002788-003-original/2025_H5N1	PV337201.1,PV337202.1,PV337203.1,PV337204.1,PV337205.1,PV337206.1,PV337207.1,PV337208.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Mallard/PA/25-002788-005-original/2025_H5N1	PV337209.1,PV337210.1,PV337211.1,PV337212.1,PV337213.1,PV337214.1,PV337215.1,PV337216.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Mallard/PA/25-002788-006-original/2025_H5N1	PV337217.1,PV337218.1,PV337219.1,PV337220.1,PV337221.1,PV337222.1,PV337223.1,PV337224.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Mallard/PA/25-002788-007-original/2025_H5N1	PV337225.1,PV337226.1,PV337227.1,PV337228.1,PV337229.1,PV337230.1,PV337231.1,PV337232.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Mallard/PA/25-002788-008-original/2025_H5N1	PV337233.1,PV337234.1,PV337235.1,PV337236.1,PV337237.1,PV337238.1,PV337239.1,PV337240.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Mallard/VT/25-002057-006-original/2025_H5N1	PV337257.1,PV337258.1,PV337259.1,PV337260.1,PV337261.1,PV337262.1,PV337263.1,PV337264.1	Wild Birds	2025-01-15	North America	USA	Vermont	H5N1
A/Mallard/VT/25-002057-007-original/2025_H5N1	PV337265.1,PV337266.1,PV337267.1,PV337268.1,PV337269.1,PV337270.1,PV337271.1,PV337272.1	Wild Birds	2025-01-15	North America	USA	Vermont	H5N1
A/Mallard/VT/25-002057-011-original/2025_H5N1	PV337273.1,PV337274.1,PV337275.1,PV337276.1,PV337277.1,PV337278.1,PV337279.1,PV337280.1	Wild Birds	2025-01-15	North America	USA	Vermont	H5N1
A/Mallard/VT/25-002057-012-original/2025_H5N1	PV337281.1,PV337282.1,PV337283.1,PV337284.1,PV337285.1,PV337286.1,PV337287.1,PV337288.1	Wild Birds	2025-01-15	North America	USA	Vermont	H5N1
A/Mallard/WY/25-002131-010-original/2025_H5N1	PV337289.1,PV337290.1,PV337291.1,PV337292.1,PV337293.1,PV337294.1,PV337295.1,PV337296.1	Wild Birds	2025-01-15	North America	USA	Wyoming	H5N1
A/Mallard/WY/25-002131-012-original/2025_H5N1	PV337305.1,PV337306.1,PV337307.1,PV337308.1,PV337309.1,PV337310.1,PV337311.1,PV337312.1	Wild Birds	2025-01-15	North America	USA	Wyoming	H5N1
A/Merganser/NY/25-002310-001-original/2025_H5N1	PV336155.1,PV336156.1,PV336157.1,PV336158.1,PV336159.1,PV336160.1,PV336161.1,PV336162.1	Wild Birds	2025-01-15	North America	USA	New York	H5N1
A/Mountain_Lion/AZ/24-036741-001-original/2024_H5N1	PV059870.1,PV059871.1,PV059872.1,PV059873.1,PV059874.1,PV059875.1,PV059876.1,PV059877.1	Non-human mammal	2024-12-05	North America	USA	Arizona	H5N1
A/Mountain_Lion/AZ/24-036741-002-original/2024_H5N1	PV059878.1,PV059879.1,PV059880.1,PV059881.1,PV059882.1,PV059883.1,PV059884.1,PV059885.1	Non-human mammal	2024-12-05	North America	USA	Arizona	H5N1
A/Muscovy_Duck/FL/25-002418-001-original/2025_H5N1	PV337313.1,PV337314.1,PV337315.1,PV337316.1,PV337317.1,PV337318.1,PV337319.1,PV337320.1	Wild Birds	2025-01-11	North America	USA	Florida	H5N1
A/Nevada/10/2025_H5N1	PV113339.1,PV113340.1,PV113341.1,PV113342.1,PV113343.1,PV113344.1,PV113345.1,PV113346.1	Human	2025-02-04	North America	USA	Nevada	H5N1
A/Owl/CA/24-037804-001-original/2024_H5N1	PV337337.1,PV337338.1,PV337339.1,PV337340.1,PV337341.1,PV337342.1,PV337343.1,PV337344.1	Wild Birds	2024-12-11	North America	USA	California	H5N1
A/Peafowl/SD/25-000286-003-original/2025_H5N1	PV159676.1,PV159677.1,PV159678.1,PV159679.1,PV159680.1,PV159681.1,PV159682.1,PV159683.1	Wild Birds	2025-01-03	North America	USA	South Dakota	H5N1
A/Pelican/KS/24-037429-001-original/2024_H5N1	PV070794.1,PV070795.1,PV070796.1,PV070797.1,PV070798.1,PV070799.1,PV070800.1,PV070801.1	Wild Birds	2024-12-09	North America	USA	Kansas	H5N1
A/Peregrine_Falcon/CA/25-003269-001-original/2025_H5N1	PV337345.1,PV337346.1,PV337347.1,PV337348.1,PV337349.1,PV337350.1,PV337351.1,PV337352.1	Wild Birds	2025-01-15	North America	USA	California	H5N1
A/Peregrine_Falcon/IA/25-002399-001-original/2025_H5N1	PV337353.1,PV337354.1,PV337355.1,PV337356.1,PV337357.1,PV337358.1,PV337359.1,PV337360.1	Wild Birds	2025-01-21	North America	USA	Iowa	H5N1
A/Peregrine_Falcon/MA/25-003138-001-original/2025_H5N1	PV337361.1,PV337362.1,PV337363.1,PV337364.1,PV337365.1,PV337366.1,PV337367.1,PV337368.1	Wild Birds	2025-01-21	North America	USA	Massachusetts	H5N1
A/Peregrine_Falcon/NY/25-003027-001-original/2025_H5N1	PV337369.1,PV337370.1,PV337371.1,PV337372.1,PV337373.1,PV337374.1,PV337375.1,PV337376.1	Wild Birds	2025-01-27	North America	USA	New York	H5N1
A/Pheasant/CA/25-000138-001-original/2024_H5N1	PV159684.1,PV159685.1,PV159686.1,PV159687.1,PV159688.1,PV159689.1,PV159690.1,PV159691.1	Wild Birds	2024-12-30	North America	USA	California	H5N1
A/Pheasant/CA/25-000138-002-original/2024_H5N1	PV159692.1,PV159693.1,PV159694.1,PV159695.1,PV159696.1,PV159697.1,PV159698.1,PV159699.1	Wild Birds	2024-12-30	North America	USA	California	H5N1
A/Pheasant/CA/25-000138-003-original/2024_H5N1	PV159700.1,PV159701.1,PV159702.1,PV159703.1,PV159704.1,PV159705.1,PV159706.1,PV159707.1	Wild Birds	2024-12-30	North America	USA	California	H5N1
A/Pheasant/CA/25-000138-004-original/2024_H5N1	PV159708.1,PV159709.1,PV159710.1,PV159711.1,PV159712.1,PV159713.1,PV159714.1,PV159715.1	Wild Birds	2024-12-30	North America	USA	California	H5N1
A/Pheasant/CA/25-000138-005-original/2024_H5N1	PV159716.1,PV159717.1,PV159718.1,PV159719.1,PV159720.1,PV159721.1,PV159722.1,PV159723.1	Wild Birds	2024-12-30	North America	USA	California	H5N1
A/Pheasant/CA/25-000138-006-original/2024_H5N1	PV159724.1,PV159725.1,PV159726.1,PV159727.1,PV159728.1,PV159729.1,PV159730.1,PV159731.1	Wild Birds	2024-12-30	North America	USA	California	H5N1
A/Pheasant/KS/24-037794-001-original/2024_H5N1	PV070802.1,PV070803.1,PV070804.1,PV070805.1,PV070806.1,PV070807.1,PV070808.1,PV070809.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-002-original/2024_H5N1	PV070810.1,PV070811.1,PV070812.1,PV070813.1,PV070814.1,PV070815.1,PV070816.1,PV070817.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-003-original/2024_H5N1	PV070818.1,PV070819.1,PV070820.1,PV070821.1,PV070822.1,PV070823.1,PV070824.1,PV070825.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-005-original/2024_H5N1	PV070826.1,PV070827.1,PV070828.1,PV070829.1,PV070830.1,PV070831.1,PV070832.1,PV070833.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-006-original/2024_H5N1	PV070834.1,PV070835.1,PV070836.1,PV070837.1,PV070838.1,PV070839.1,PV070840.1,PV070841.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-007-original/2024_H5N1	PV070842.1,PV070843.1,PV070844.1,PV070845.1,PV070846.1,PV070847.1,PV070848.1,PV070849.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-008-original/2024_H5N1	PV070850.1,PV070851.1,PV070852.1,PV070853.1,PV070854.1,PV070855.1,PV070856.1,PV070857.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-009-original/2024_H5N1	PV070858.1,PV070859.1,PV070860.1,PV070861.1,PV070862.1,PV070863.1,PV070864.1,PV070865.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037794-010-original/2024_H5N1	PV070866.1,PV070867.1,PV070868.1,PV070869.1,PV070870.1,PV070871.1,PV070872.1,PV070873.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/KS/24-037810-001-original/2024_H5N1	PV070874.1,PV070875.1,PV070876.1,PV070877.1,PV070878.1,PV070879.1,PV070880.1,PV070881.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/Pheasant/SD/24-038918-001-original/2024_H5N1	PV159740.1,PV159741.1,PV159742.1,PV159743.1,PV159744.1,PV159745.1,PV159746.1,PV159747.1	Wild Birds	2024-12-26	North America	USA	South Dakota	H5N1
A/Quail/PA/25-003317-003-original/2025_H5N1	PV337545.1,PV337546.1,PV337547.1,PV337548.1,PV337549.1,PV337550.1,PV337551.1,PV337552.1	Wild Birds	2025-01-27	North America	USA	Pennsylvania	H5N1
A/Red-breasted_Merganser/MA/25-003321-003-original/2025_H5N1	PV337553.1,PV337554.1,PV337555.1,PV337556.1,PV337557.1,PV337558.1,PV337559.1,PV337560.1	Wild Birds	2025-01-27	North America	USA	Massachusetts	H5N1
A/Red-shouldered_Hawk/PA/25-002205-001-original/2025_H5N1	PV337561.1,PV337562.1,PV337563.1,PV337564.1,PV337565.1,PV337566.1,PV337567.1,PV337568.1	Wild Birds	2025-01-14	North America	USA	Pennsylvania	H5N1
A/Red-shouldered_Hawk/PA/25-003371-001-original/2025_H5N1	PV337569.1,PV337570.1,PV337571.1,PV337572.1,PV337573.1,PV337574.1,PV337575.1,PV337576.1	Wild Birds	2025-01-28	North America	USA	Pennsylvania	H5N1
A/Red-tailed_Hawk/CA/25-003487-001-original/2025_H5N1	PV337585.1,PV337586.1,PV337587.1,PV337588.1,PV337589.1,PV337590.1,PV337591.1,PV337592.1	Wild Birds	2025-01-17	North America	USA	California	H5N1
A/Red-tailed_Hawk/CO/25-002984-001-original/2025_H5N1	PV337593.1,PV337594.1,PV337595.1,PV337596.1,PV337597.1,PV337598.1,PV337599.1,PV337600.1	Wild Birds	2025-01-22	North America	USA	Colorado	H5N1
A/Red-tailed_Hawk/CO/25-003294-001-original/2025_H5N1	PV337601.1,PV337602.1,PV337603.1,PV337604.1,PV337605.1,PV337606.1,PV337607.1,PV337608.1	Wild Birds	2025-01-25	North America	USA	Colorado	H5N1
A/Red-tailed_Hawk/CO/25-003477-001-original/2025_H5N1	PV337609.1,PV337610.1,PV337611.1,PV337612.1,PV337613.1,PV337614.1,PV337615.1,PV337616.1	Wild Birds	2025-01-27	North America	USA	Colorado	H5N1
A/Red-tailed_Hawk/CO/25-003478-001-original/2025_H5N1	PV337617.1,PV337618.1,PV337619.1,PV337620.1,PV337621.1,PV337622.1,PV337623.1,PV337624.1	Wild Birds	2025-01-28	North America	USA	Colorado	H5N1
A/Red-tailed_Hawk/MI/25-002363-003-original/2025_H5N1	PV337625.1,PV337626.1,PV337627.1,PV337628.1,PV337629.1,PV337630.1,PV337631.1,PV337632.1	Wild Birds	2025-01-16	North America	USA	Michigan	H5N1
A/Red-tailed_Hawk/MI/25-003067-006-original/2025_H5N1	PV337633.1,PV337634.1,PV337635.1,PV337636.1,PV337637.1,PV337638.1,PV337639.1,PV337640.1	Wild Birds	2025-01-23	North America	USA	Michigan	H5N1
A/Red-tailed_Hawk/MN/25-001818-002-original/2025_H5N1	PV337641.1,PV337642.1,PV337643.1,PV337644.1,PV337645.1,PV337646.1,PV337647.1,PV337648.1	Wild Birds	2025-01-11	North America	USA	Minnesota	H5N1
A/Red-tailed_Hawk/NJ/25-001919-001-original/2025_H5N1	PV337649.1,PV337650.1,PV337651.1,PV337652.1,PV337653.1,PV337654.1,PV337655.1,PV337656.1	Wild Birds	2025-01-13	North America	USA	New Jersey	H5N1
A/Red-tailed_Hawk/NY/25-002143-001-original/2025_H5N1	PV337657.1,PV337658.1,PV337659.1,PV337660.1,PV337661.1,PV337662.1,PV337663.1,PV337664.1	Wild Birds	2025-01-13	North America	USA	New York	H5N1
A/Red-tailed_Hawk/NY/25-002740-001-original/2025_H5N1	PV337665.1,PV337666.1,PV337667.1,PV337668.1,PV337669.1,PV337670.1,PV337671.1,PV337672.1	Wild Birds	2025-01-22	North America	USA	New York	H5N1
A/Red-tailed_Hawk/OR/25-002191-001-original/2025_H5N1	PV337673.1,PV337674.1,PV337675.1,PV337676.1,PV337677.1,PV337678.1,PV337679.1,PV337680.1	Wild Birds	2025-01-13	North America	USA	Oregon	H5N1
A/Red-tailed_Hawk/PA/25-002236-001-original/2025_H5N1	PV337681.1,PV337682.1,PV337683.1,PV337684.1,PV337685.1,PV337686.1,PV337687.1,PV337688.1	Wild Birds	2025-01-02	North America	USA	Pennsylvania	H5N1
A/Red-tailed_Hawk/UT/25-002900-002-original/2025_H5N1	PV337689.1,PV337690.1,PV337691.1,PV337692.1,PV337693.1,PV337694.1,PV337695.1,PV337696.1	Wild Birds	2025-01-21	North America	USA	Utah	H5N1
A/Red-tailed_Hawk/VA/25-003128-006-original/2025_H5N1	PV337697.1,PV337698.1,PV337699.1,PV337700.1,PV337701.1,PV337702.1,PV337703.1,PV337704.1	Wild Birds	2025-01-21	North America	USA	Virginia	H5N1
A/Red_Tailed_Hawk/BC/AIVPHL-2513/2024	EPI_ISL_19533305	Wild Birds	2024-10-07	North America 	 Canada 	 British Columbia	H5N1
A/Ross_s_goose/Kansas/W24-1015/2024_H5N1	PV267429.1,PV267430.1,PV267431.1,PV267432.1,PV267433.1,PV267434.1,PV267435.1,PV267436.1	Wild Birds	2024-12-03	North America	USA	Kansas	H5N1
A/Ross_s_goose/Kansas/W24-1031E/2024_H5N1	PV267437.1,PV267438.1,PV267439.1,PV267440.1,PV267441.1,PV267442.1,PV267443.1,PV267444.1	Wild Birds	2024-12-04	North America	USA	Kansas	H5N1
A/Ross_s_goose/Louisiana/W24-1056/2024_H5N1	PV267445.1,PV267446.1,PV267447.1,PV267448.1,PV267449.1,PV267450.1,PV267451.1,PV267452.1	Wild Birds	2024-12-11	North America	USA	Louisiana	H5N1
A/Snow_Goose/BC/AIVPHL-2538/2024	EPI_ISL_19533314	Wild Birds	2024-10-21	North America 	 Canada 	 British Columbia	H5N1
A/Snow_Goose/NJ/25-001916-001-original/2025_H5N1	PV337721.1,PV337722.1,PV337723.1,PV337724.1,PV337725.1,PV337726.1,PV337727.1,PV337728.1	Wild Birds	2025-01-13	North America	USA	New Jersey	H5N1
A/Snow_Goose/NY/25-002142-001-original/2025_H5N1	PV337729.1,PV337730.1,PV337731.1,PV337732.1,PV337733.1,PV337734.1,PV337735.1,PV337736.1	Wild Birds	2025-01-16	North America	USA	New York	H5N1
A/Snow_Goose/NY/25-002146-001-original/2025_H5N1	PV337737.1,PV337738.1,PV337739.1,PV337740.1,PV337741.1,PV337742.1,PV337743.1,PV337744.1	Wild Birds	2025-01-16	North America	USA	New York	H5N1
A/Snow_Goose/NY/25-002738-001-original/2025_H5N1	PV337745.1,PV337746.1,PV337747.1,PV337748.1,PV337749.1,PV337750.1,PV337751.1,PV337752.1	Wild Birds	2025-01-23	North America	USA	New York	H5N1
A/Snow_Goose/NY/25-002924-002-original/2025_H5N1	PV337753.1,PV337754.1,PV337755.1,PV337756.1,PV337757.1,PV337758.1,PV337759.1,PV337760.1	Wild Birds	2025-01-24	North America	USA	New York	H5N1
A/Snow_Goose/NY/25-003225-001-original/2025_H5N1	PV337761.1,PV337762.1,PV337763.1,PV337764.1,PV337765.1,PV337766.1,PV337767.1,PV337768.1	Wild Birds	2025-01-27	North America	USA	New York	H5N1
A/Snow_Goose/NY/25-003225-002-original/2025_H5N1	PV336131.1,PV336132.1,PV336133.1,PV336134.1,PV336135.1,PV336136.1,PV336137.1,PV336138.1	Wild Birds	2025-01-27	North America	USA	New York	H5N1
A/Snow_Goose/NY/25-003225-003-original/2025_H5N1	PV337769.1,PV337770.1,PV337771.1,PV337772.1,PV337773.1,PV337774.1,PV337775.1,PV337776.1	Wild Birds	2025-01-27	North America	USA	New York	H5N1
A/Snow_Goose/PA/25-002210-001-original/2025_H5N1	PV337777.1,PV337778.1,PV337779.1,PV337780.1,PV337781.1,PV337782.1,PV337783.1,PV337784.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Snow_Goose/PA/25-002234-001-original/2025_H5N1	PV337785.1,PV337786.1,PV337787.1,PV337788.1,PV337789.1,PV337790.1,PV337791.1,PV337792.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Snow_Goose/PA/25-002234-004-original/2025_H5N1	PV337793.1,PV337794.1,PV337795.1,PV337796.1,PV337797.1,PV337798.1,PV337799.1,PV337800.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Snow_Goose/PA/25-002234-005-original/2025_H5N1	PV337801.1,PV337802.1,PV337803.1,PV337804.1,PV337805.1,PV337806.1,PV337807.1,PV337808.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Snow_Goose/PA/25-002234-006-original/2025_H5N1	PV336147.1,PV336148.1,PV336149.1,PV336150.1,PV336151.1,PV336152.1,PV336153.1,PV336154.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Snow_Goose/VA/25-003128-004-original/2025_H5N1	PV337809.1,PV337810.1,PV337811.1,PV337812.1,PV337813.1,PV337814.1,PV337815.1,PV337816.1	Wild Birds	2025-01-16	North America	USA	Virginia	H5N1
A/Snowy_Owl/MI/25-002363-005-original/2025_H5N1	PV337817.1,PV337818.1,PV337819.1,PV337820.1,PV337821.1,PV337822.1,PV337823.1,PV337824.1	Wild Birds	2025-01-16	North America	USA	Michigan	H5N1
A/Snowy_Owl/NY/25-002325-001-original/2025_H5N1	PV337825.1,PV337826.1,PV337827.1,PV337828.1,PV337829.1,PV337830.1,PV337831.1,PV337832.1	Wild Birds	2025-01-17	North America	USA	New York	H5N1
A/Swan/AZ/24-036510-002-original/2024_H5N1	PV059886.1,PV059887.1,PV059888.1,PV059889.1,PV059890.1,PV059891.1,PV059892.1,PV059893.1	Wild Birds	2024-12-05	North America	USA	Arizona	H5N1
A/Swan/AZ/24-036510-003-original/2024_H5N1	PV059894.1,PV059895.1,PV059896.1,PV059897.1,PV059898.1,PV059899.1,PV059900.1,PV059901.1	Wild Birds	2024-12-05	North America	USA	Arizona	H5N1
A/Swan/IA/24-037493-001-original/2024_H5N1	PV070906.1,PV070907.1,PV070908.1,PV070909.1,PV070910.1,PV070911.1,PV070912.1,PV070913.1	Wild Birds	2024-12-13	North America	USA	Iowa	H5N1
